même	ADV	même
,	PUNCT	,
abricot	VERB	abricot
aux	ADP	à
d'	ADP	de
bruits	NOUN	bruit
bad	PRON	bad
d'	ADP	de
éparpilla	VERB	éparpiller
sont	AUX	être
commença	VERB	commencer
un	DET	un
aux	ADP	à
quinze	NUM	quinze
.	PUNCT	.
aux	ADP	à
mille	NUM	mille
alcaline	NOUN	alcaline
du	ADP	de
couleurs	NOUN	couleur
aux	ADP	à
odeurs	NOUN	odeur
vent	NOUN	vent
,	PUNCT	,
histoires	NOUN	histoire
bad	VERB	bad
président	NOUN	président
,	PUNCT	,
funérailles	NOUN	funéraille
et	CCONJ	et
.	PUNCT	.
le	DET	le
Ce	PRON	ce
jour	NOUN	jour
aveugles	NOUN	aveugle
des	DET	un
que	SCONJ	que
,	PUNCT	,
avril	NOUN	avril
d'	ADP	de
Oui	ADV	oui
,	PUNCT	,
de	ADP	de
,	PUNCT	,
cela	PRON	cela
fortes	ADJ	fort
bad	NOUN	bad
confiture	NOUN	confiture
les	DET	le
,	PUNCT	,
départements	NOUN	département
du	ADP	de
la	DET	le
soldats	NOUN	soldat
neuf	NUM	neuf
que	SCONJ	que
pages	NOUN	page
de	ADP	de
vieilles	ADJ	vieux
ministre	NOUN	ministre
et	CCONJ	et
que	SCONJ	que
se	PRON	se
de	ADP	de
glacé	VERB	glacer
des	ADP	de
et	CCONJ	et
les	DET	le
diocèses	NOUN	diocèse
effrayés	VERB	effrayer
information	NOUN	information
réfugièrent	VERB	réfugier
leurs	DET	leur
en	ADP	en
l'	DET	le
papier	NOUN	papier
des	ADP	de
neuf	NUM	neuf
neuf	NUM	neuf
leurs	DET	leur
rue	NOUN	rue
prirent	ADV	prirent
du	ADP	de
les	DET	le
fusils	NOUN	fusil
de	ADP	de
géographiques	ADJ	géographique
les	DET	le
évêques	NOUN	évêque
dans	ADP	dans
de	ADP	de
et	CCONJ	et
de	ADP	de
l'	DET	le
Enterrement	NOUN	enterrement
abandonnèrent	VERB	abandonner
discours	NOUN	discours
cordonnier	NOUN	cordonnier
jambes	NOUN	jambe
boutiques	NOUN	boutique
les	DET	le
à	ADP	à
'	PUNCT	'
que	SCONJ	que
tête	NOUN	tête
poisseuses	ADJ	poisseux
dignitaires	NOUN	dignitaire
qu	PRON	que
dictateur	NOUN	dictateur
resserrèrent	ADV	resserrèrent
charme	NOUN	charme
avec	ADP	avec
cérémonie	NOUN	cérémonie
Vivant	PROPN	Vivant
concussionnaires	NOUN	concussionnaire
portier	NOUN	portier
plus	ADV	plus
vers	ADP	vers
grand	ADJ	grand
d'	ADP	de
mains	NOUN	main
pour	ADP	pour
grand	ADJ	grand
cous	NOUN	cou
leurs	DET	leur
de	ADP	de
hôtel	NOUN	hôtel
clamait	VERB	clamer
de	ADP	de
leurs	DET	leur
un	DET	un
du	ADP	de
,	PUNCT	,
une	DET	un
habits	NOUN	habit
de	ADP	de
louanges	NOUN	louange
encore	ADV	encore
de	ADP	de
courir	VERB	courir
grand	ADJ	grand
de	ADP	de
cathédrale	NOUN	cathédrale
chanteur	NOUN	chanteur
de	ADP	de
habitude	NOUN	habitude
leurs	DET	leur
tandis	ADV	tandis
Décédé	PROPN	Décédé
ta	DET	ton
principal	ADJ	principal
Eternellement	PROPN	Eternellement
miliciens	NOUN	milicien
des	ADP	de
révolutionnaires	ADJ	révolutionnaire
unisson	NOUN	unisson
-	PUNCT	-
de	ADP	de
tout	ADV	tout
père	NOUN	père
filles	NOUN	fille
-	NOUN	-
,	PUNCT	,
avec	ADP	avec
toi	NOUN	toi
derrière	ADP	derrière
l'	DET	le
Association	NOUN	association
tombeaux	NOUN	tombeau
Cohortes	NOUN	cohorte
à	ADP	à
de	ADP	de
,	PUNCT	,
Salut	VERB	salut
,	PUNCT	,
à	ADP	à
du	ADP	de
cimetière	NOUN	cimetière
les	DET	le
des	ADP	de
,	PUNCT	,
Oui	ADV	oui
,	PUNCT	,
mères	NOUN	mère
enfants	NOUN	enfant
fondateur	ADJ	fondateur
.	PUNCT	.
brisé	VERB	briser
réfugiées	VERB	réfugier
l'	DET	le
du	ADP	de
trouvés	VERB	trouver
des	ADP	de
Club	NOUN	club
des	ADP	de
faméliques	ADJ	famélique
.	PUNCT	.
fils	NOUN	fils
commença	NOUN	commença
nationale	ADJ	national
femme	NOUN	femme
vent	NOUN	vent
grands	ADJ	grand
la	DET	le
âme	ADJ	âm
fini	VERB	finir
ce	DET	ce
les	DET	le
du	ADP	de
croire	VERB	croire
vent	NOUN	vent
,	PUNCT	,
déjà	ADV	déjà
Macaya	PROPN	Macaya
nous	PRON	nous
de	ADP	de
était	AUX	être
de	ADP	de
faire	VERB	faire
dictature	NOUN	dictature
en	PRON	en
les	DET	le
sommet	NOUN	sommet
avril	NOUN	avril
c'	PRON	ce
qui	PRON	qui
pirouette	NOUN	pirouette
de	ADP	de
Bohio	PROPN	Bohio
Les	DET	le
espaces	NOUN	espace
au	ADP	au
fit	VERB	faire
l'	DET	le
poètes	NOUN	poète
que	SCONJ	que
libérée	VERB	libérer
de	ADP	de
hautaine	NOUN	hautain
chevaux	NOUN	cheval
ouverts	VERB	ouvrir
voyaient	VERB	voir
avant-jour	NOUN	avant-jour
par	ADP	par
le	DET	le
.	PUNCT	.
d'	ADP	de
courir	VERB	courir
pic	NOUN	pic
l'	DET	le
et	CCONJ	et
Camarades	NOUN	camarade
Elles	PRON	lui
dans	ADP	dans
de	ADP	de
s'	PRON	se
.	PUNCT	.
.	PUNCT	.
les	DET	le
chamailles	NOUN	chamaille
de	ADP	de
la	DET	le
à	ADP	à
du	ADP	de
,	PUNCT	,
occupation	NOUN	occupation
gens	NOUN	gens
de	ADP	de
Même	ADV	même
les	DET	le
les	DET	le
la	DET	le
voit	VERB	voir
frères	NOUN	frère
conciliabules	ADJ	conciliabule
preneurs	NOUN	preneur
en	ADP	en
noir	NOUN	noir
.	PUNCT	.
comme	ADP	comme
sont	AUX	être
on	PRON	on
sans	ADP	sans
fin	NOUN	fin
en	ADP	en
ni	CCONJ	ni
blanc	ADJ	blanc
embrassaient	VERB	embrasser
l'	DET	le
fin	NOUN	fin
belles	ADJ	bel
trente-quatre	NOUN	trente-quatre
première	ADJ	premier
les	DET	le
photos	NOUN	photo
rues	NOUN	rue
,	PUNCT	,
occupation	NOUN	occupation
couleurs	NOUN	couleur
la	DET	le
c'	PRON	ce
,	PUNCT	,
tous	ADJ	tout
sel	NOUN	sel
une	DET	un
et	CCONJ	et
drapeau	NOUN	drapeau
,	PUNCT	,
la	DET	le
femmes	NOUN	femme
en	PRON	en
a	VERB	avoir
époux	NOUN	époux
vivante	ADJ	vivant
,	PUNCT	,
laquelle	PRON	lequel
eau	NOUN	eau
fils	NOUN	fils
mère	NOUN	mère
sur	ADP	sur
l'	DET	le
,	PUNCT	,
image	NOUN	image
arbres	NOUN	arbre
de	ADP	de
riaient	VERB	rire
souriait	AUX	souriait
,	PUNCT	,
ma	DET	mon
routes	NOUN	route
chantaientnever	VERB	chantaientnever
l'	DET	le
les	DET	le
même	ADV	même
,	PUNCT	,
Jetaient	PROPN	Jetaient
est	AUX	être
du	ADP	de
sur	ADP	sur
leurs	DET	leur
again	PROPN	again
leurs	DET	leur
leurs	DET	leur
,	PUNCT	,
y	PRON	y
les	DET	le
les	DET	le
fiancés	NOUN	fiancé
plus	ADV	plus
,	PUNCT	,
Maintenant	ADV	maintenant
je	PRON	je
ride	NOUN	ride
elle	PRON	lui
en	ADP	en
chanterelle	ADJ	chanterell
que	SCONJ	que
une	DET	un
sont	AUX	être
éclosion	NOUN	éclosion
avait	AUX	avoir
été	AUX	être
et	CCONJ	et
elle	PRON	lui
,	PUNCT	,
de	ADP	de
-	PUNCT	-
cheveu	NOUN	cheveu
grand	ADJ	grand
avait	VERB	avoir
reine	NOUN	reine
pas	ADV	pas
Américains	NOUN	américain
d'	ADP	de
une	DET	un
elle	PRON	lui
moment	NOUN	moment
.	PUNCT	.
ce	DET	ce
ans	NOUN	an
,	PUNCT	,
les	DET	le
l'	DET	le
préservé	VERB	préserver
en	ADP	en
d'	ADP	de
que	SCONJ	que
,	PUNCT	,
fonction	NOUN	fonction
un	DET	un
tout	ADV	tout
trente-quatre	NUM	trente-quatre
,	PUNCT	,
en	ADP	en
elle	PRON	lui
trente	NUM	trente
garderai	VERB	garder
pas	ADV	pas
revenus	VERB	revenir
gris	ADJ	gris
'	PUNCT	'
bouge	VERB	bouger
sait	VERB	savoir
,	PUNCT	,
fait	AUX	faire
est	AUX	être
ne	ADV	ne
ne	ADV	ne
des	ADP	de
plus	ADV	plus
sont	AUX	être
revenus	VERB	revenir
de	ADP	de
au	ADP	au
ne	ADV	ne
de	ADP	de
s'	PRON	se
de	ADP	de
pas	ADV	pas
elle	PRON	lui
mémoire	NOUN	mémoire
ce	DET	ce
installé	VERB	installer
,	PUNCT	,
sa	DET	son
elle	PRON	lui
savoir	VERB	savoir
qu	PRON	que
ne	ADV	ne
parle	VERB	parle
pas	ADV	pas
ont	AUX	avoir
rit	VERB	rire
ou	CCONJ	ou
plus	ADV	plus
,	PUNCT	,
ils	PRON	il
perdue	VERB	perdre
semblant	ADJ	semblant
matin	NOUN	matin
qu	PRON	que
que	SCONJ	que
,	PUNCT	,
'	PUNCT	'
ils	PRON	il
ne	ADV	ne
plus	ADV	plus
elle	PRON	lui
barbelés	NOUN	barbelé
trente-quatre	NUM	trente-quatre
que	SCONJ	que
de	ADP	de
les	DET	le
la	DET	le
des	DET	un
après	ADP	après
bas	NOUN	bas
dans	ADP	dans
se	PRON	se
que	ADV	que
vieillards	NOUN	vieillard
leur	PRON	leur
kilomètres	NOUN	kilomètre
belles	ADJ	bel
Miracles	NOUN	miracle
de	ADP	de
courent	NOUN	courent
route	NOUN	route
dents	NOUN	dent
Grand-Rue	PROPN	Grand-Rue
leur	DET	leur
de	ADP	de
filles	ADJ	fille
rue	NOUN	rue
enfants	NOUN	enfant
des	ADP	de
gâtées	VERB	gâter
,	PUNCT	,
leurs	DET	leur
sur	ADP	sur
sentiers	NOUN	sentier
jeunes	NOUN	jeune
,	PUNCT	,
font	VERB	faire
les	DET	le
des	DET	un
des	DET	un
sur	ADP	sur
sourires	NOUN	sourire
la	DET	le
,	PUNCT	,
dix	NUM	dix
Delmas	PROPN	Delmas
que	ADV	que
des	DET	un
,	PUNCT	,
la	DET	le
,	PUNCT	,
font	VERB	faire
de	ADP	de
tout	ADJ	tout
eux	PRON	lui
de	ADP	de
cessé	VERB	cesser
qu'	SCONJ	que
elle	PRON	lui
pour	ADP	pour
matin	NOUN	matin
avec	ADP	avec
la	DET	le
vous	PRON	vous
voyez	VERB	voir
,	PUNCT	,
vent	NOUN	vent
a	AUX	avoir
n'	ADV	n'
,	PUNCT	,
son	DET	son
point	VERB	poindre
de	ADP	de
débarquement	NOUN	débarquement
figée	VERB	figer
commencé	VERB	commencer
Ça	PRON	cela
du	ADP	de
lui	PRON	lui
vrai	ADJ	vrai
que	SCONJ	que
est	AUX	être
,	PUNCT	,
trente-quatre	NUM	trente-quatre
ait	AUX	avoir
pris	VERB	prendre
bien	ADV	bien
de	ADP	de
nuit	NOUN	nuit
cela	PRON	cela
a	AUX	avoir
il	PRON	il
dans	ADP	dans
.	PUNCT	.
respirer	VERB	respirer
d'	ADP	de
Alors	ADV	alors
,	PUNCT	,
bouger	VERB	bouger
.	PUNCT	.
un	DET	un
le	DET	le
sourire	NOUN	sourire
armoires	ADJ	armoire
que	SCONJ	que
l'	DET	le
leur	DET	leur
-	NOUN	-
prophètes	ADJ	prophète
parce	SCONJ	parce
en	ADP	en
nos	DET	notre
de	DET	de
les	DET	le
fatrasies	NOUN	fatrasie
dans	ADP	dans
d'	ADP	de
craqué	VERB	craquer
-	PUNCT	-
les	DET	le
indicible	ADJ	indicible
,	PUNCT	,
langue	NOUN	langue
,	PUNCT	,
la	DET	le
,	PUNCT	,
légendes	NOUN	légende
poutres	NOUN	poutre
ont	AUX	avoir
toutes	ADJ	tout
nos	DET	notre
négritudinales	ADJ	négritudinale
for	X	for
air	NOUN	air
bouquinette	NOUN	bouquinette
comme	ADP	comme
folkloriques	ADJ	folklorique
-	PRON	-
vieilles	ADJ	vieux
à	ADP	à
avalé	NOUN	avalé
tropicales	ADJ	tropical
déchéance	NOUN	déchéance
,	PUNCT	,
clus	ADV	clus
promesses	NOUN	promesse
