nu	ADV	nu
de	ADP	de
tous	ADJ	tout
partie	NOUN	partie
les	DET	le
.	PUNCT	.
Edmondsson	PROPN	Edmondsson
rentra	VERB	rentrer
,	PUNCT	,
croisés	VERB	croiser
les	DET	le
accueillis	NOUN	accueilli
produits	NOUN	produit
commencé	VERB	commencer
livre	NOUN	livre
un	DET	un
les	DET	le
j'	PRON	je
,	PUNCT	,
,	PUNCT	,
entassé	VERB	entasser
débarrassé	VERB	débarrasser
à	ADP	à
la	DET	le
un	DET	un
sac	NOUN	sac
ma	DET	mon
allongé	VERB	allonger
étagères	ADJ	étagère
,	PUNCT	,
-	NOUN	-
Ayant	AUX	avoir
,	PUNCT	,
toilette	VERB	toilette
l'	PRON	l'
ai	AUX	avoir
bibliothèque	NOUN	bibliothèque
poubelle	NOUN	poubelle
déménager	VERB	déménager
.	PUNCT	.
Lorsque	SCONJ	lorsque
grand	ADJ	grand
placards	NOUN	placard
une	DET	un
pieds	NOUN	pied
à	ADP	à
à	ADP	à
le	DET	le
carton	NOUN	carton
6	NUM	6
elle	PRON	lui
parents	NOUN	parent
sur	ADP	sur
le	DET	le
la	DET	le
a	AUX	avoir
ses	DET	son
jambes	NOUN	jambe
gâteaux	NOUN	gâteau
soucieuse	ADJ	soucieux
)	PUNCT	)
les	DET	le
mes	DET	mon
sur	ADP	sur
dans	ADP	dans
)	PUNCT	)
avertir	VERB	avertir
.	PUNCT	.
Je	PRON	je
.	PUNCT	.
par	ADP	par
5	NUM	5
une	DET	un
assiette	NOUN	assiette
pâtisseries	NOUN	pâtisserie
m'	PRON	me
grand	ADJ	grand
.	PUNCT	.
Edmondsson	PROPN	Edmondsson
,	PUNCT	,
apporta	NOUN	apporta
fini	VERB	finir
soupe	NOUN	soupe
.	PUNCT	.
disposait	VERB	disposer
Assise	PROPN	Assise
ouvert	ADJ	ouvert
des	DET	un
bidet	NOUN	bidet
posé	VERB	poser
entre	ADP	entre
Maman	PROPN	Maman
robinet	NOUN	robinet
,	PUNCT	,
trouvais	NOUN	trouvai
le	DET	le
,	PUNCT	,
depuis	ADP	depuis
un	DET	un
une	DET	un
devrais	PROPN	devoir
tête	NOUN	tête
,	PUNCT	,
choisissant	VERB	choisir
,	PUNCT	,
regards	NOUN	regard
croqua	VERB	croquer
.	PUNCT	.
quelque	DET	quelque
ne	ADV	ne
évitait	VERB	éviter
distraire	ADJ	distrair
la	DET	le
mais	CCONJ	mais
me	PRON	me
lasse	NOUN	lasse
releva	VERB	relever
chose	NOUN	chose
sport	NOUN	sport
arrivée	NOUN	arrivée
Elle	PRON	lui
elle	PRON	lui
dit	VERB	dire
-elle	PRON	lui
,	PUNCT	,
,	PUNCT	,
éclair	NOUN	éclair
du	ADP	de
mes	DET	mon
Tu	SCONJ	tu
voulut	VERB	vouloir
.	PUNCT	.
faire	VERB	faire
avec	ADP	avec
te	ADP	te
,	PUNCT	,
dans	ADP	dans
dire	VERB	dire
tut	VERB	taire
lequel	PRON	lequel
elle	PRON	lui
tristesse	NOUN	tristesse
son	DET	son
,	PUNCT	,
je	PRON	je
se	PRON	se
,	PUNCT	,
pas	ADV	pas
en	ADP	en
.	PUNCT	.
ne	ADV	ne
son	DET	son
sais	VERB	savoir
,	PUNCT	,
que	SCONJ	que
le	DET	le
ajoutai	VERB	ajouter
que	SCONJ	que
de	ADP	de
on	PRON	on
s'	PRON	se
rien	PRON	rien
avec	ADP	avec
paraissait	VERB	paraître
que	SCONJ	que
Je	PRON	je
lèvres	NOUN	lèvre
divertissement	NOUN	divertissement
bien	ADV	bien
.	PUNCT	.
des	ADP	de
Elle	PRON	lui
les	DET	le
diversions	NOUN	diversion
moins	ADV	moins
que	SCONJ	que
souriant	VERB	sourire
vit	VERB	voir
essuya	VERB	essuyer
je	PRON	je
le	DET	le
coin	NOUN	coin
elle	PRON	lui
gant	NOUN	gant
craignais	VERB	craindre
me	PRON	me
presque	ADV	presque
besoin	NOUN	besoin
.	PUNCT	.
,	PUNCT	,
j'	PRON	je
répondis	VERB	répondre
moi	PRON	moi
Lorsque	SCONJ	lorsque
l'	DET	le
suspect	ADJ	suspect
émission	NOUN	émission
pouvait	VERB	pouvoir
rendu	VERB	rendre
-	NUM	-
championnat	NOUN	championnat
un	DET	un
ne	ADV	ne
compte	NOUN	compte
.	PUNCT	.
,	PUNCT	,
la	DET	le
journée	NOUN	journée
fois	NOUN	fois
un	DET	un
moi	PRON	moi
France	PROPN	France
tendit	VERB	tendre
,	PUNCT	,
football	NOUN	football
feuilles	PRON	feuilles
me	PRON	me
par	ADP	par
heures	NOUN	heure
discuter	VERB	discuter
,	PUNCT	,
avec	ADP	avec
.	PUNCT	.
L'	DET	le
de	ADP	de
7	NUM	7
radiophonique	NOUN	radiophonique
deux	NUM	deux
et	CCONJ	et
de	ADP	de
)	PUNCT	)
machinalement	ADV	machinalement
durait	VERB	durer
mille	NOUN	mille
de	ADP	de
semaine	NOUN	semaine
du	ADP	de
Deux	NUM	Deux
écoutais	VERB	écouter
déroulement	NOUN	déroulement
de	ADP	de
.	PUNCT	.
pas	ADV	pas
le	DET	le
D'	ADP	de
j'	PRON	je
humaines	ADJ	humain
parisien	ADJ	parisien
être	AUX	être
rencontres	NOUN	rencontre
rendez-vous	NOUN	rendez-vous
suivaient	VERB	suivre
studio	NOUN	studio
à	ADP	à
les	DET	le
voix	NOUN	voix
ratais	VERB	rater
jamais	ADV	jamais
Étant	VERB	être
la	DET	le
orchestrait	VERB	orchestrer
Bercé	VERB	bercer
qui	PRON	qui
que	SCONJ	que
de	DET	de
dans	ADP	dans
spéciaux	ADJ	spécial
d'	ADP	de
écoutais	VERB	écouter
le	DET	le
envoyés	NOUN	envoyé
présentateur	NOUN	présentateur
chaudes	NOUN	chaude
voix	ADV	voix
par	ADP	par
différents	ADJ	différent
imaginé	VERB	imaginer
j'	PRON	je
les	DET	le
ces	DET	ce
