.	PUNCT	.
dans	ADP	dans
.	PUNCT	.
tremblement	ADV	tremblement
lumière	NOUN	lumière
Raphaël	PROPN	Raphaël
s'	PRON	se
l'	DET	le
sa	DET	son
faisceau	NOUN	faisceau
la	DET	le
vestibule	ADJ	vestibul
—	PUNCT	—
femme	NOUN	femme
sa	DET	son
le	DET	le
interrupteur	NOUN	interrupteur
léger	NOUN	léger
.	PUNCT	.
dans	ADP	dans
Un	DET	un
s'	PRON	se
efforçait	VERB	efforcer
jeune	ADJ	jeune
se	PRON	se
Comme	ADP	comme
le	DET	le
de	ADP	de
aperçut	VERB	apercevoir
tendre	VERB	tendre
pénétra	VERB	pénétrer
maîtriser	VERB	maîtriser
Il	PRON	il
que	SCONJ	que
.	PUNCT	.
tu	DET	tu
vers	ADP	vers
allume	ADV	allume
veux	ADJ	veux
...	PUNCT	...
main	NOUN	main
serrure	NOUN	serrure
pas	ADV	pas
de	ADP	de
N'	ADV	n'
.	PUNCT	.
.	PUNCT	.
dis	ADP	dis
laquelle	PRON	lequel
rien	PRON	rien
fenêtre	NOUN	fenêtre
voix	NOUN	voix
Ne	ADV	ne
yeux	NOUN	oeil
derrière	ADP	derrière
Je	PRON	je
ne	ADV	ne
—	PUNCT	—
lui	PRON	lui
la	DET	le
,	PUNCT	,
la	DET	le
je	PRON	je
-t	PART	-t
il	PRON	il
gagna	ADV	gagna
Raphaël	PROPN	Raphaël
les	DET	le
referma	VERB	refermer
et	CCONJ	et
doucement	ADV	doucement
-il	PRON	il
sèchement	VERB	sèchemer
lâcha	NOUN	lâcha
tenait	VERB	tenir
rien	PRON	rien
leva	VERB	lever
porte	VERB	porte
veux	ADJ	veux
toujours	ADV	toujours
elle	PRON	lui
Elle	PRON	lui
devant	ADP	devant
savoir	VERB	savoir
,	PUNCT	,
,	PUNCT	,
.	PUNCT	.
...	PUNCT	...
Adriana	PROPN	Adriana
.	PUNCT	.
se	PRON	se
Elle	PRON	lui
—	PUNCT	—
vers	ADP	vers
suis	AUX	être
en	ADP	en
mais	CCONJ	mais
.	PUNCT	.
.	PUNCT	.
t'	VERB	t'
profil	NOUN	profil
,	PUNCT	,
péniblement	ADJ	péniblement
sur	ADP	sur
ne	ADV	ne
-moi	PRON	moi
,	PUNCT	,
ses	DET	son
épaule	NOUN	épaule
,	PUNCT	,
supplie	NOUN	supplie
son	DET	son
elle	PRON	lui
murmura	VERB	murmurer
Il	PRON	il
que	SCONJ	que
lèvres	NOUN	lèvre
main	NOUN	main
l'	DET	le
discerner	VERB	discerner
obscurité	NOUN	obscurité
-t	PART	-t
-elle	PRON	lui
,	PUNCT	,
son	DET	son
—	PUNCT	—
une	DET	un
elle	PRON	lui
je	PRON	je
verre	NOUN	verre
put	PRON	put
posant	VERB	poser
crispé	ADJ	crisper
en	ADP	en
et	CCONJ	et
Raphaël	PROPN	Raphaël
à	ADP	à
entendit	NOUN	entendit
,	PUNCT	,
écoute	NOUN	écoute
porta	VERB	porter
dans	ADP	dans
avaler	ADJ	avaler
son	DET	son
l'	DET	le
.	PUNCT	.
Il	PRON	il
jamais	ADV	jamais
pas	ADV	pas
jamais	ADV	jamais
Ne	ADV	ne
.	PUNCT	.
plus	ADV	plus
quelques	DET	quelque
Ne	ADV	ne
comprends	NOUN	comprend
?	PUNCT	?
une	DET	un
.	PUNCT	.
.	PUNCT	.
Tout	ADJ	tout
!	PUNCT	!
.	PUNCT	.
fini	VERB	finir
ici	ADV	ici
pas	ADV	pas
voix	NOUN	voix
de	ADP	de
dégagea	VERB	dégager
touche	VERB	touche
brutalement	VERB	brutalemer
entre	ADP	entre
nous	PRON	nous
est	AUX	être
dit	VERB	dire
te	ADV	te
recula	VERB	reculer
